"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1241";"Old and aged , children , everyone is suffering from various types of mental tension and are coming in the captivities of psychological disorders .";"बड़े - बूढ़े , बच्चे , सभी मानसिक तनाव से गुजर रहे हैं और कई प्रकार के मनोरोगों की गिरफ्त में आ रहे हैं ।";"बूढ़े , बच्चे , सभी मानसिक तनाव से गुजर रहे हैं और कई तरह के मनोरोगियों की चपेट में आ रहे हैं।";"51.841612"
"1242";"Even though not all might be taking the advice of psychiatrists or psychologists .";"भले ही सभी लोग सायकियाट्रिस्ट या सायकोलाजिस्टों की सलाह न ले रहे हों ।";"भले ही हर कोई मनोचिकित्सक या मनोवैज्ञानिक की सलाह नहीं ले रहा हो।";"8.953364"
"1243";"But the number of patients coming to the psychiatrist and psychologists today has increased much than earlier .";"पर पहले की बनिस्पत आज सायकियाट्रिस्ट या सायकोलाजिस्टों के पास आनेवाले मरीजों की संख्या काफी बढ़ गई है ।";"लेकिन आज मनोचिकित्सकों या मनोवैज्ञानिकों के पास आने वाले मरीजों की संख्या पहले की तुलना में काफी बढ़ गई है .";"12.021578"
"1244";"The advice of the psychologists is proving ineffective and modern medicines which suppress the symptoms of the problem are delivering more harm .";"मनोवैज्ञानिकों के मशविरे बेअसर साबित हो रहे हैं और समस्या के लक्षणों को दबाने का काम करनेवाली आधुनिक दवाएँ फायदे के बजाय नुकसान ज्यादा पहुँचा रही हैं ।";"मनोवैज्ञानिकों की सलाह अप्रभावी साबित हो रही है और आधुनिक दवाएं जो समस्या के लक्षणों को दबाने का काम करती हैं , अच्छे से ज्यादा नुकसान कर रही हैं।";"25.037371"
"1245";"In the pomp of multimillion advertisements of modern medical science perhaps very few people will accept the truth that methods of effective treatment of common mental problems and severe psychological disorders are present in the ancient Indian medical science , that is , Ayurveda .";"मॉडर्न मेडिकल साइंस के बहुकरोड़ी विज्ञापनों के जोर - शोर में बहुत कम लोग शायद इस सच को स्वीकार करें कि प्राचीन भारतीय चिकित्सा विज्ञान यानी आयुर्वेद में आम मानसिक समस्याओं व गंभीर मनोरोगों के इलाज के कारगर तरीके मौजूद हैं ।";"आधुनिक चिकित्सा विज्ञान के करोड़ों विज्ञापनों की भीड़ में , बहुत कम लोग इस तथ्य को स्वीकार कर सकते हैं कि प्राचीन भारतीय चिकित्सा विज्ञान यानी आयुर्वेद में सामान्य मानसिक समस्याओं और गंभीर मानसिक विकारों के इलाज के प्रभावी तरीके हैं।";"26.391877"
"1246";"The cure , analysis and treatment of psychological disorders are discussed in detail in Ayurvedic texts .";"आयुर्वेद ग्रंथों में मनोरोगों के निदान , विश्लेषण व उपचार के बारे में विस्तार से बताया गया है ।";"आयुर्वेद ग्रंथों में मानसिक रोगों के निदान , विश्लेषण और उपचार का विस्तार से वर्णन किया गया है।";"21.555379"
"1247";"Maharishi Charak tells about three types of diseases in sutrasthan of ' Charak Samhita ' . . nij 2 . aagantu 3 . maanas .";"’ चरक संहिता ’ के ’ सूत्रस्थान ’ में महर्षि चरक 3 प्रकार के रोग बताते हैं - 1. निज 2. आगंतु 3. मानस ।";"चरक संहिता के सूत्रस्थान में महर्षि चरक 3 प्रकार के रोग बताते हैं - 1.";"39.841757"
"1248";"The Nij disorders are those which occur due to the imbalance of tridisorders -LRB- gas , bile , cough -RRB- .";"निज रोग वे हैं जो त्रिदोष ( वात , पित्त , कफ ) के असंतुलन से उत्पन्न हों ।";"निज रोग वे हैं जो तीन दोषों ( वात , पित्त , कफ ) के असंतुलन के कारण उत्पन्न होते हैं।";"56.269334"
"1249";"Aagantu diseases are those which occur due to ghosts -LRB- microbes -RRB- , polluted air and maanas diseases are those psychological disorders which occur due to desires and jealousy .";"आगंतु रोग वे हैं , जो भूत ( कीटाणु ) , दूषित वायु आदि से उत्पन्न हों और मानस रोग यानी मनोरोग वे हैं , जो इच्छा और द्वेष से उत्पन्न हों ।";"आगंतुक रोग वे हैं जो भूतों ( कीटाणुओं ) , प्रदूषित वायु आदि से उत्पन्न होते हैं।";"9.467199"
"1250";"As all of you know , Ayurveda is not just the method of treatment , it is also a science of life .";"जैसा कि आप सभी जानते हैं , आयुर्वेद मात्र इलाज का कोई तरीका न होकर जीवन का विज्ञान है ।";"जैसा कि आप सभी जानते हैं कि आयुर्वेद केवल उपचार की एक विधि नहीं बल्कि जीवन का विज्ञान है।";"30.923666"
"1251";"In Ayurveda not just the symptoms of disease are treated but by treating the root cause of disease body is holistically made healthy .";"आयुर्वेद में बीमारी के लक्षणों का नहीं बल्कि उसके मूल कारण का इलाज करके शरीर को पूर्ण रूप से स्वस्थ बनाया जाता है ।";"आयुर्वेद में रोग के लक्षणों को नहीं बल्कि मूल कारण का उपचार करके शरीर को पूर्ण रूप से स्वस्थ बनाया जाता है।";"45.922610"
"1252";"The meaning of complete health is the health of brain and soul together with the body .";"पूर्ण स्वास्थ्य का अर्थ शरीर के साथ - साथ मन यानी मस्तिष्क और आत्मा के स्वास्थ्य से है ।";"संपूर्ण स्वास्थ्य से तात्पर्य शरीर के साथ - साथ मन यानी मन और आत्मा के स्वास्थ्य से है।";"51.072311"
"1253";"If the health of any one of the brain or the soul is not good then it is definite for the health of the other to get affected .";"मस्तिष्क और आत्मा में से अगर किसी एक का स्वास्थ्य भी ठीक नहीं है तो दूसरे का स्वास्थ्य भी प्रभावित होना सुनिश्चित है ।";"यदि एक मन और आत्मा का स्वास्थ्य भी अच्छा नहीं है , तो दूसरे का स्वास्थ्य प्रभावित होना निश्चित है।";"18.982336"
"1254";"Healthy mind can not reside in unhealthy body .";"अस्वस्थ शरीर में स्वस्थ मन का वास नहीं हो सकता ।";"स्वस्थ मन अस्वस्थ शरीर में निवास नहीं कर सकता।";"18.702743"
"1255";"There are three properties of man - saatvik , rajasik and tamasik , these properties are decided on the basis of balance of tridosh and the entire mental health depends on it .";"मनुष्य के तीन गुण - सात्विक , राजसिक व तामसिक , त्रिदोष के संतुलन के आधार पर ही ये गुण निर्धारित होते हैं और उसी पर संपूर्ण मानसिक स्वास्थ्य निर्भर करता है ।";"ये गुण मनुष्य के तीन गुणों - सात्विक , राजसिक और तामसिक के संतुलन के आधार पर ही निर्धारित होते हैं , और उसी पर समग्र मानसिक स्वास्थ्य निर्भर करता है।";"40.665021"
"1256";"The nature of man , his judgement and decisive ability , the multiplicity of his character till the extent of the entire personality depends on these three properties of saatvik , rajsik and tamsik properties .";"मनुष्य की प्रवृत्ति , उसकी आकलन व निर्णय क्षमता , उसके चरित्र की विविधता , यहाँ तक कि उसका पूरा व्यक्तित्व भी इन्हीं तीन सात्विक , राजसिक व तामसिक गुणों पर निर्भर करता है ।";"मनुष्य का स्वभाव , मूल्यांकन और निर्णय करने की उसकी क्षमता , उसके चरित्र की विविधता , यहाँ तक कि उसका संपूर्ण व्यक्तित्व भी इन तीन सात्त्विक , राजसिक और तामसिक गुणों पर निर्भर करता है।";"43.348871"
"1257";"If there is increase in the rajsik and tamsik properties in man due to his food and life style then he can be surrounded with psychological disorders .";"यदि किसी मनुष्य के आहार व जीवनशैली से उसके राजसिक व तामसिक गुणों में वृद्धि हो , तो वह मनोरोग से घिर सकता है ।";"यदि किसी व्यक्ति के खान - पान और रहन - सहन से उसके राजसिक और तामसिक गुणों में वृद्धि होती है , तो वह मनोविकृति से घिरा हो सकता है।";"16.958579"
"1258";"According to few specialists , the entire working system of brain depends on the three properties of desire , pride and intelligence .";"कुछ जानकारों के अनुसार , मस्तिष्क की पूरी कार्यप्रणाली इच्छा , अहंकार और बुद्धि इन्हीं तीन गुणों पर निर्भर करती है ।";"कुछ विशेषज्ञों के अनुसार , मस्तिष्क की पूरी कार्यप्रणाली इन तीन गुणों , इच्छा , अहंकार और बुद्धि पर निर्भर करती है।";"51.795975"
"1259";"Desire has control on brain and desire works according to the dictates of pride .";"मस्तिष्क पर इच्छा का नियंत्रण होता है और इच्छा अहंकार के कहे अनुसार कार्य करती है ।";"इच्छा मन द्वारा नियंत्रित होती है और इच्छा अहंकार के निर्देशों के अनुसार कार्य करती है।";"29.624899"
"1260";"Intelligence which helps the brain to decide is the most important of all .";"इनमें बुद्धि सबसे महत्वपूर्ण है , जो मस्तिष्क को निर्णय लेने में मदद करती है ।";"इनमें से सबसे महत्वपूर्ण है बुद्धि , जो मस्तिष्क को निर्णय लेने में मदद करती है।";"62.628450"
"1261";"With the increase of the effect of desire or pride on intelligence , the mental balance disrupts , mental frenzy and tension get incentive and as a result psychological disorders occur .";"बुद्धि पर इच्छा या अहंकार का प्रभाव बढ़ने से मानसिक संतुलन बिगड़ता है , मानसिक आवेश और तनाव को बढ़ावा मिलता है , फलस्वरूप मनोरोग उत्पन्न होते हैं ।";"इच्छा या अहंकार का बुद्धि पर प्रभाव बढ़ने से मानसिक संतुलन बिगड़ता है , मानसिक आवेग और तनाव को बढ़ावा मिलता है , परिणामस्वरूप मनोविकृति उत्पन्न होती है।";"22.450257"
"1262";"According to ` Charak samhita ' , in the case of mental disorders , negative effects affect the eight basic psychological causes of will - will , intelligence , memory , feeling , devotion , morality , efforts and behavior .";"’ चरक संहिता ’ के अनुसार , ` ` मानसिक रोगों की अवस्था में , मन के आठ मूलभूत मनोवैज्ञानिक कारकों - मन , बुद्धि , स्मृति , अनुभूति , भक्ति , शील , चेष्टा ( गतिविधियां ) और व्यवहार पर नकारात्मक प्रभाव पड़ता है । ` `";"चरक संहिता के अनुसार , ' मानसिक रोगों की स्थिति में मन के आठ मूल मनोवैज्ञानिक कारकों - मन , बुद्धि , स्मृति , अनुभूति , भक्ति , शील , प्रयास ( क्रिया ) और व्यवहार पर नकारात्मक प्रभाव पड़ता है। . ,";"49.051343"
"1263";"Due to this reason man does not stay fit for social life .";"इस कारण व्यक्ति सामाजिक जीवन के योग्य नहीं रह पाता ।";"इससे व्यक्ति सामाजिक जीवन के लिए फिट नहीं रह पाता है।";"33.932513"
"1264";"With the decrease of brilliance in body especially in tissues of brain , the capacity of brain to fight with tension is affected because of which the person gradually becomes prey to the psychological disorders .";"` ` शरीर , खासकर मस्तिष्क के टिश्यूज में ओजस की कमी से मस्तिष्क की तनाव से लड़ने की क्षमता प्रभावित होती है , जिससे व्यक्ति धीरे - धीरे मनोरोगों का शिकार हो जाता है । ` `";"शरीर में ओजस की कमी , विशेष रूप से मस्तिष्क के ऊतकों , तनाव से निपटने के लिए मस्तिष्क की क्षमता को प्रभावित करती है , जिससे व्यक्ति धीरे - धीरे मनोविकृति का शिकार हो जाता है। ,";"34.069444"
"1265";"This is the reason why together with consumption of nutritive food , excellent digestive capacity is given boundless importance in Ayurveda .";"यही वजह है कि पोषक तत्वों के सेवन के साथ - साथ उत्कृष्ट पाचन - क्षमता को आयुर्वेद में बेहद महत्व दिया गया है ।";"यही कारण है कि आयुर्वेद में पौष्टिकता के साथ - साथ उत्तम पाचनशक्ति को अत्यधिक महत्व दिया गया है।";"16.972518"
"1266";"Renowned Yoga and spiritual Deepak Chopra considers ' radiation and life ' also important together with brilliance for mental health .";"जाने - माने योग व अध्यात्म गुरु दीपक चोपड़ा ओजस के साथ - साथ ’ तेजस और प्राण ’ को भी मानसिक स्वास्थ्य के लिए निहायत जरूरी मानते हैं ।";"जाने - माने योग और आध्यात्मिक गुरु दीपक चोपड़ा ओजस के साथ ' तेजस और प्राण ' को मानसिक स्वास्थ्य के लिए बहुत महत्वपूर्ण मानते हैं।";"24.458733"
"1267";"According to Dr . Chopra , life is that minute energy which is essential in the proper functioning of brain and body .";"डां . चोपड़ा के अनुसार , ` ` प्राण वह सूक्ष्म ऊर्जा है जो मस्तिष्क और शरीर के सही ढ़ंग से काम करते रहने के लिए जरूरी होती है ` ` ।";""" डॉ . चोपड़ा के अनुसार , "" "" प्राण वह सूक्ष्म ऊर्जा है जो मन और शरीर के समुचित कार्य के लिए आवश्यक है। "" "" """;"23.601526"
"1268";"Radiation is that inner physical strength which by increasing our comprehension power helps us in taking the right decision .";"तेजस वह आँतरिक शारीरिक ऊर्जा है जो हमारी बोध क्षमता को बढ़ाकर हमें उचित निर्णय लेने में सहायक होती है ।";"तेजस वह आंतरिक भौतिक ऊर्जा है जो हमारी अवधारणात्मक क्षमता को बढ़ाकर हमें उचित निर्णय लेने में मदद करती है।";"33.340975"
"1269";"Due to their imbalance also there is maximum danger of becoming the victim of psychological disorders .";"इनके असंतुलन से भी मनोरोगों के शिकार होने का खतरा सर्वाधिक रहता है ।";"इनके असंतुलन से मनोविकृति का शिकार होने का खतरा भी बढ़ जाता है।";"26.776803"
"1270";"One main cause for occurrence of mental disorders for any person is also not being able to strike a proper balance with his surroundings .";"किसी व्यक्ति का अपने आस - पास के वातावरण से उचित संतुलन न बना पाना भी मानसिक रोग होने का एक प्रमुख कारण है ।";"किसी व्यक्ति का अपने आस - पास के वातावरण के साथ उचित संतुलन बनाए रखने में असमर्थता भी मानसिक बीमारी होने का एक प्रमुख कारण है।";"48.686609"
"1271";"In general the main mental disorders that are seen due to this imbalance include hyper sexuality , anger , greed , delusion , jealousy , frenzy , sadness , worry , rage , fear , happiness etc .";"इस असंतुलन के चलते आम तौर पर जो मानसिक अव्यवस्थाएँ देखने में मिलती हैं , उनमें अति कामुकता , क्रोध , लोभ , मोह , द्वेष , मद , शोक , चिंता , आवेश , भय , हर्ष इत्यादि प्रमुख हैं ।";"इस असंतुलन के कारण जो मानसिक विकार आमतौर पर देखे जाते हैं वे हैं अत्यधिक कामुकता , क्रोध , लोभ , मोह , द्वेष , पागलपन , शोक , चिंता , जुनून , भय , आनंद आदि।";"37.662287"
"1272";"If the above mentioned mental condition persists then it gives birth to serious mental diseases like psychosis , epilepsy , hysteria , obsession , illusion , delusion , unconsciousness , excessive alcoholism , etc .";"उपर्युक्त मानसिक अवस्थाएँ निरंतर बनी रहें तो वे उन्माद ( सायकोसिस ) , अपस्मार ( मिर्गी ) , हिस्टीरिया , आंबसेसन , भ्रम , मद , मूर्च्छा , अति मदिरापान , आदि गंभीर मानसिक रोगों को जन्म देती हैं ।";"यदि उपरोक्त मानसिक स्थितियाँ बनी रहती हैं , तो वे गंभीर मानसिक रोगों जैसे उन्माद ( मनोविकृति ) , एपनिया ( मिर्गी ) , हिस्टीरिया , शर्मिंदगी , भ्रम , भ्रम , बेहोशी , अत्यधिक शराब पीना आदि को जन्म देती हैं।";"23.528103"
"1273";"The way in which psychologists and doctors are in dark to a great extent regarding the built and functions of brain similarly all the factors which lead to psychological disorders are not known till now .";"जिस तरह मस्तिष्क के कार्यों व संरचना के बारे में मनोवैज्ञानिक व चिकित्सक काफी हद तक अंधेरे में हैं , उसी तरह मनोरोग होने के सभी कारणों की अभी तक जानकारी हो पाई है ।";"जिस तरह मनोवैज्ञानिक और चिकित्सक मस्तिष्क के कार्यों और संरचनाओं के बारे में काफी हद तक अंधेरे में हैं , अब तक मनोरोग के सभी कारणों का पता चल चुका है।";"29.162937"
"1274";"Dr . Deepak Chopra says . the greatest effect of our mental health is seen on our body ' .";"डॉ . दीपक चोपड़ा कहते हैं , ` ` हमारे मानसिक स्वास्थ्य का सबसे ज्यादा प्रभाव हमारे शरीर पर देखने को मिलता है ` ` ।";"डॉ . दीपक चोपड़ा कहते हैं , '' हमारे मानसिक स्वास्थ्य का सबसे ज्यादा असर हमारे शरीर पर देखने को मिलता है .''";"49.755012"
"1275";"In the same way the good and bad effects of physical health can be seen on the brain .";"इसी तरह शारीरिक स्वास्थ्य का प्रभाव - दुष्प्रभाव मस्तिष्क पर देखने को मिलता है ।";"इसी तरह शारीरिक स्वास्थ्य का असर दिमाग पर भी देखने को मिलता है।";"34.152860"
"1276";"In order to escape from such diseases it is important that we learn to strike balance between our body and mind - brain .";"ऐसे में बीमारियों से बचने के लिए जरूरी है कि हम शरीर का अपने मन - मस्तिष्क से संतुलन बनाना सीख लें । ` `";"ऐसे में बीमारियों से बचने के लिए जरूरी है कि हम अपने मन - मस्तिष्क के साथ शरीर को संतुलित करना सीखें। ,";"51.145796"
"1277";"Days back one of my highly educated acquaintances came to me for advice .";"पिछले दिनों मेरे एक उच्च शिक्षित परिचित परामर्श के लिए मेरे पास आए ।";"हाल ही में मेरा एक उच्च शिक्षित परिचित परामर्श के लिए मेरे पास आया था।";"55.120034"
"1278";"After knowing the disease symptoms and on the basis of his sonography reports , his family doctor told him that he has hernia and the only treatment for that is surgery .";"उनके फैमिली फिजिशियन ने उनके रोग लक्षणों को जानने के बाद व सोनोग्राफी रिपोर्ट के आधार पर बताया था कि उन्हें हर्निया है और सर्जरी ही उसका एकमात्र इलाज है ।";"उनके परिवार के चिकित्सक ने उनके लक्षणों को जानने के बाद और सोनोग्राफी रिपोर्ट के आधार पर बताया कि उन्हें हर्निया है और सर्जरी ही एकमात्र इलाज है।";"48.641817"
"1279";"He had also heard something about hernia .";"हर्निया के बारे में थोड़ा - बहुत उन्होंने भी सुन रखा था ।";"उन्होंने हर्निया के बारे में भी थोड़ा बहुत सुना था।";"22.382899"
"1280";"According to him , this is not a serious problem and just to increase the bill doctors advice for surgery and after surgery also there is a danger for it to appear again , etc .";"उसके अनुसार , यह कोई गंभीर समस्या नहीं होती और डॉक्टर तो सिर्फ बिल बढ़ाने के लिए ही सर्जरी की सलाह देते हैं तथा सर्जरी के बाद भी उसके दुबारा उभरने का खतरा रहता है वगैरह - वगैरह ।";"उनके अनुसार , यह कोई गंभीर समस्या नहीं है और डॉक्टर केवल बिल बढ़ाने के लिए सर्जरी की सलाह देते हैं और सर्जरी के बाद भी इसके दोबारा उभरने आदि का खतरा रहता है।";"36.098178"
"1281";"Seeing the commercialisation in the medical field it was natural for such suspicions to occur .";"चिकित्सा क्षेत्र में आई व्यावसायिकता को देखते हुए उन्हें इस तरह का संदेह होना लाजिमी भी था ।";"चिकित्सा के क्षेत्र में उनकी व्यावसायिकता को देखते हुए , उन्हें इस तरह के संदेह होने के लिए बाध्य किया गया था।";"18.325672"
"1282";"The information that his physician gave him regarding hernia , it is correct .";"हर्निया को लेकर उनके फिजिशियन ने जो जानकारी दी थी , वह सच है ।";"उनके चिकित्सक द्वारा हर्निया के बारे में दी गई जानकारी सत्य है।";"3.729858"
"1283";"Surgery is its only cure and the more the delay the more increased would be the discomfort .";"सर्जरी ही इस रोग का एक मात्र इलाज है और इसमें जितनी देरी की जाए परेशानी उतनी ही बढ़ती जाती है ।";"इस बीमारी का एकमात्र इलाज सर्जरी है और इसमें जितनी देर होती है , समस्या उतनी ही बढ़ती जाती है।";"15.337766"
"1284";"After my advice saying of meeting soon and taking of quick decision in this context he went away .";"मेरे परामर्श के बाद शीघ्र मिलने व इस संदर्भ में जल्दी ही कोई फैसला लेने की बात कहकर वे चले गए ।";"मेरे परामर्श के बाद , वह यह कहकर चला गया कि वह जल्द ही मिलेंगे और जल्द ही इस संबंध में निर्णय लेंगे।";"12.259150"
"1285";"He got the surgery done afterwards according to his physician ' s consultation or stayed in the maze of third or fourth opinion . do not have any information of this .";"बाद में अपने फिजिशियन के कहे अनुसार उन्होंने सर्जरी कराई या फिर ’ थर्ड ’ व ’ फोर्थ ’ ओपिनियन के चक्कर में पड़े रहे , इसकी मुझे जानकारी नहीं है ।";"बाद में , उनके चिकित्सक की सलाह के अनुसार , उन्होंने सर्जरी करवाई या ' तीसरे ' और ' चौथे ' मतों के दायरे में रहे , मुझे नहीं पता।";"4.881243"
"1286";"It is mentionable that ten percent of the total population of our country certainly falls prey to hernia in its lifespan .";"उल्लेखनीय है कि हमारे देश में कुल आबादी का लगभग दस प्रतिशत हिस्सा अपने जीवनकाल में हर्निया का शिकार अवश्य होता है ।";"उल्लेखनीय है कि हमारे देश की कुल जनसंख्या का लगभग दस प्रतिशत अपने जीवनकाल में हर्निया से पीड़ित है।";"36.706447"
"1287";"Like the disease hernia construction of a saclike creation takes place from the swelling of tissues in any particular organ of the patient due to genetic or any other reason .";"हर्निया रोग के तरह मरीज के किसी अंग विशेष में आनुवंशिक या किसी अन्य कारण से टिश्यूज के उभार से एक थैलीनुमा संरचना का निर्माण हो जाता है ।";"हर्निया रोग की तरह आनुवंशिक या किसी अन्य कारण से रोगी के किसी विशेष भाग में ऊतकों के उभार के कारण एक थैली जैसी संरचना का निर्माण होता है।";"26.934383"
"1288";"Although hernia can affect just any part of the body but the maximum cases are connected to belly or stomach .";"वैसे तो हर्निया शरीर के किसी भी हिस्से को प्रभावित कर सकता है , परंतु इसके सर्वाधिक मामले पेट यानी उदर से जुड़े होते हैं ।";"हालांकि हर्निया शरीर के किसी भी हिस्से को प्रभावित कर सकता है , लेकिन इसके ज्यादातर मामले पेट से जुड़े होते हैं।";"47.413186"
"1289";"That is , in all cases of hernia approximately 75 % cases are related to stomach .";"यानी हर्निया के कुल मामलों में लगभग 75 % मामले पेट से ही संबंधित होते हैं ।";"यानी हर्निया के कुल मामलों में से करीब 75 % मामले पेट से ही जुड़े होते हैं।";"57.490899"
"1290";"But in the essay we will discuss in the context of hernia of stomach .";"प्रस्तुत लेख में हम पेट के हर्निया के सन्दर्भ में चर्चा करेंगे ।";"आज के लेख में हम उदर हर्निया के संदर्भ में चर्चा करेंगे।";"17.625225"
"1291";"There are three main kinds of this type of hernia too - inguinal hernia affecting the groin region , umbilical hernia affecting the navel region and incisional area rising at the place of surgery of stomach .";"इस तरह के हर्निया के भी मुख्यत : तीन प्रकार हैं - उरु - मूल ( groin ) क्षेत्र को प्रभावित करनेवाला इनग्विल हर्निया ( inguinal hernia ) , नाभि क्षेत्र को प्रभावित करनेवाला , अमबिलिकल हर्निया ( umbilical hernia ) और पेट की सर्जरी की जगह पर उभरने वाला इनसिजिनल हर्निया ( incisional hernia ) ।";"इस प्रकार के हर्निया मुख्य रूप से तीन प्रकार के होते हैं - वंक्षण हर्निया कमर क्षेत्र को प्रभावित करता है , गर्भनाल क्षेत्र को प्रभावित करता है , अम्बिलिकल हर्निया और पेट की सर्जरी के स्थल पर उभरना। इंसिज़नल हर्निया।";"9.441547"
"1292";"Inguinal Hernia : This is a swelling connected to the inguinal canal on the inner walls of stomach and therefore it has been given the name of inguinal hernia .";"इनग्विनल हर्निया : यह पेट की भीतरी दीवारों पर इनग्विनल नलिका से जुड़ा उभार है और इसीलिए इसे इनग्विनल हर्निया नाम दिया गया है ।";"वंक्षण हर्निया : यह वंक्षण वाहिनी से जुड़े पेट की भीतरी दीवारों पर एक उभार है और इसलिए इसका नाम वंक्षण हर्निया है।";"24.699594"
"1293";"The case of this is maximum in approximately all cases of hernia .";"हर्निया के लगभग सभी प्रकार के मामलों में इसके ही मामले सर्वाधिक होते हैं ।";"लगभग सभी तरह के हर्निया के मामलों में इसके मामले सबसे ज्यादा होते हैं।";"23.649264"
"1294";"It is believed that at some time or the other approximately 5 % part of the total population certainly becomes prey to this malfunction .";"माना जाता है कि संपूर्ण आबादी का लगभग 5 % हिस्सा कभी न कभी इस गड़बड़ी का शिकार अवश्य होता है ।";"ऐसा माना जाता है कि पूरी आबादी का लगभग 5 % हिस्सा किसी न किसी समय इस अशांति का शिकार होता है।";"36.857838"
"1295";"The surgery done for treatment of inguinal hernia is most common .";"इनग्विनल हर्निया के इलाज के लिए की जानेवाली सर्जरी सबसे आम है ।";"एक वंक्षण हर्निया का इलाज करने के लिए सबसे आम सर्जरी है।";"10.135944"
"1296";"Umbilical hernia is related to stomach .";"अमबिलिकल हर्निया उदर से संबंधित होता है ।";"अम्बिलिकल हर्निया पेट से संबंधित है।";"12.872632"
"1297";"Of all the cases of hernia related to stomach , approximately 10 to 30 % cases are those of umbilical hernia .";"पेट से संबंधित हर्निया के कुल मामलों में लगभग 10 से 30 % मामले अमबिलिकल हर्निया के होते हैं ।";"उदर हर्निया के सभी मामलों में अम्बिलिकल हर्निया लगभग 10 से 30 % होता है।";"23.199297"
"1298";"Umbilical hernia is generally due to congenital disorders .";"आमतौर पर अमबिलिकल हर्निया जन्मजात गड़बड़ियों के चलते होता है ।";"गर्भनाल हर्निया आमतौर पर जन्मजात दोषों के कारण होता है।";"9.993744"
"1299";"In fact one hole of the stomach wall which is connected to the umbilical nerve often gets closed before birth .";"दरअसल , पेट की दीवार का एक छिद्र , जो कि नाभि नाड़ी से जुड़ा होता है , अक्सर जन्म के पूर्व बंद हो जाता है ।";"वास्तव में , पेट की दीवार में एक छेद , जो गर्भनाल से जुड़ा होता है , अक्सर जन्म से पहले बंद हो जाता है।";"28.809062"
"1300";"In some cases this does not happen because of which hernia erupts near navel center .";"कुछ मामलों में ऐसा नहीं हो पाता , जिससे नाभि केन्द्र के पास हर्निया पनप जाता है ।";"कुछ मामलों में यह संभव नहीं हो पाता है , जिसके कारण नाभि केंद्र के पास हर्निया विकसित हो जाता है।";"16.893810"
"1301";"If the size of this type of hernia is small , that is , less than half inch then it generally gets closed on its own by the time the child reaches the age of two years .";"यदि इस प्रकार के हर्निया का आकार छोटा यानी आधा इंच से कम हो तो यह अमूमन शिशु के दो साल के होने तक खुद - ब - खुद बंद हो जाता है ।";"यदि इस प्रकार के हर्निया का आकार छोटा या आधा इंच से कम है , तो यह आमतौर पर बच्चे के दो साल का होने तक अपने आप बंद हो जाता है।";"37.570643"
"1302";"Large sized hernia which does not stop on their own , surgery is important for their treatment .";"बड़े आकार के हर्निया , जो कि स्वयं नहीं बंद होते , उनके इलाज के लिए सर्जरी आवश्यक होती है ।";"बड़े आकार के हर्निया जो अपने आप बंद नहीं होते हैं उनके इलाज के लिए सर्जरी की आवश्यकता होती है।";"25.745727"
"1303";"This surgery is done between two to four years of age of the child .";"यह सर्जरी शिशु के दो से चार साल की आयु के बीच की जाती है ।";"यह सर्जरी बच्चे की दो से चार साल की उम्र के बीच की जाती है।";"41.913559"
"1304";"In some cases it has been seen that the hole of stomach closes with birth .";"कुछ मामलों में देखा गया है कि पेट का सुराख़ जन्म के साथ बंद हो जाता है ।";"कुछ मामलों में यह देखा गया है कि जन्म के साथ ही पेट का खुलना बंद हो जाता है।";"29.965157"
