"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"1229";"Bathing with cold water must be done after massaging the whole body with oil of mustard .";"सम्पूर्ण शरीर में सरसों के तेल की मालिश करके शीतल जल से स्नान करना चाहिए ।";"सरसों के तेल से पूरे शरीर की मालिश करने के बाद ठंडे पानी से नहाना चाहिए।";"सरसों के तेल से पूरे शरीर की मालिश करने के बाद ठंडे पानी से स्नान करना चाहिए।";"12.451643";"16.753520"
"1230";"There is circulation of energy due to massage .";"मालिश से शरीर में स्फूर्ति का संचार होता है ।";"मालिश से ऊर्जा का संचार होता है।";"मालिश के कारण ऊर्जा का संचलन होता है।";"20.024851";"5.660234"
"1231";"According to Vastu , mustard can be grown within boundaries of the house .";"वास्तु की दृष्टि से सरसों को घर की सीमा में उगा सकते हैं ।";"वास्तु के अनुसार सरसों को घर की सीमाओं के भीतर उगाया जा सकता है।";"वास्तु के अनुसार सरसों को घर की सीमाओं के भीतर उगाया जा सकता है।";"18.798318";"18.798318"
"1232";"Almost in every activity of spells mustard is used .";"लगभग प्रत्येक तांत्रिक क्रिया में सरसों का प्रयोग होता है ।";"लगभग हर मंत्र की गतिविधि में सरसों का प्रयोग किया जाता है।";"सरसों की लगभग हर गतिविधि में उपयोग किया जाता है।";"22.416934";"4.996872"
"1233";"For the patient of leprosy , if they are moved over their own organs after charming the mustard seeds with spells for curing snake bites then spread of leprosy stops .";"सरसों के बीजों को किसी सर्प का विष उतारने वाले मंत्रों से अभिमंत्रित कराने के बाद श्वेत कुष्ठ का रोग यदि अपने अंग प्रत्यंग पर फेरे , तो कुष्ठ रोग का फैलाव रुक जाता है ।";"कुष्ठ रोगी के लिए यदि सर्प दंश को दूर करने के लिए सरसों के दानों को मंत्रों से मंत्रमुग्ध कर अपने ही अंगों के ऊपर ले जाया जाए तो कुष्ठ रोग का फैलाव रुक जाता है।";"कुष्ठ रोग के रोगी के लिए , यदि वे सांप के काटने के लिए मंत्र के साथ सरसों के बीज को आकर्षक बनाने के बाद अपने स्वयं के अंगों पर चले जाते हैं , तो कुष्ठ रोग का प्रसार हो जाता है।";"20.943602";"12.100859"
"1234";"The unique use of oil of mustard - if in a vessel with broad mouth water is filled completely and put in the bedroom .";"सरसों के तेल का अनोखा प्रयोग - यदि एक चौड़े मुख वाले पात्र को लेकर पूरा जल से भरकर रात को शयन कक्ष में रख दिया जाये ।";"सरसों के तेल का अनोखा प्रयोग - अगर चौड़े मुंह वाले बर्तन में पानी पूरी तरह भरकर शयन कक्ष में रख दिया जाए।";"सरसों के तेल का अनूठा उपयोग - अगर व्यापक मुंह के पानी के साथ एक बर्तन में पूरी तरह से भर जाता है और बेडरूम में डाल दिया जाता है।";"33.929739";"9.518931"
"1235";"If 4 . drops of the oil of mustard are put in that , then mosquitoes do not come close .";"उस जल में 4 - 5 बूंद सरसों का तेल डाल दिया जाए , तो मच्छर पास नहीं आते हैं ।";"अगर 4. उसमें सरसों के तेल की बूंदे डाल दी जाती है तो मच्छर पास नहीं आते।";"यदि 4 सरसों के तेल की बूंदों को उसमें डाल दिया जाता है , तो मच्छर करीब नहीं आते हैं।";"13.014525";"10.893477"
"1236";"This is an experiment to shoo the mosquitoes .";"यह मच्छर भगाने का प्रयोग है ।";"यह मच्छर भगाने का एक प्रयोग है।";"यह मच्छरों को भगाने का एक प्रयोग है।";"43.472087";"13.134549"
"1237";"Days back a surprising report taking up mental problems was published in a national level newspaper .";"पिछले दिनों एक राष्ट्रीय स्तर के समाचार पत्र में मानसिक समस्याओं को लेकर एक चौंकाने वाली रिपोर्ट प्रकाशित हुई थी ।";"कुछ दिन पहले राष्ट्रीय स्तर के एक समाचार पत्र में मानसिक समस्याओं को लेकर एक आश्चर्यजनक रिपोर्ट प्रकाशित की गई थी।";"कुछ दिनों पहले राष्ट्रीय स्तर के समाचार पत्र में मानसिक समस्याओं को उठाने वाली एक आश्चर्यजनक रिपोर्ट प्रकाशित की गई थी।";"42.976414";"43.811297"
"1238";"According to the report , approximately one fourth of the population of the country suffers from some or the other type of mental problems in their lifetime .";"रिपोर्ट के मुताबिक , देश की लगभग एक चौथाई आबादी अपने जीवनकाल में किसी न किसी तरह की गंभीर मानसिक समस्या से जरूर पीड़ित होती है ।";"रिपोर्ट के अनुसार देश की लगभग एक चौथाई आबादी अपने जीवन काल में किसी न किसी प्रकार की मानसिक समस्याओं से ग्रसित रहती है।";"रिपोर्ट के अनुसार , देश की लगभग एक चौथाई आबादी अपने जीवनकाल में कुछ या अन्य प्रकार की मानसिक समस्याओं से ग्रस्त है।";"33.971516";"37.470578"
"1239";"This matter can not be completely true but to consider it a guess will also not be correct .";"यह बात भले ही पूरी तरह से सच न हो , परंतु इसे अतिशयोक्ति मान लेना भी उचित नहीं होगा ।";"यह बात पूरी तरह सच तो नहीं हो सकती लेकिन इस पर विचार करना भी सही नहीं होगा।";"यह मामला पूरी तरह से सच नहीं हो सकता है , लेकिन इस पर विचार करने के लिए एक अनुमान भी सही नहीं होगा।";"6.114936";"12.062940"
"1240";"In order to search luxury and comfort man may be making progress by leaps and bounds but his brain has to bear a lot of harms for this .";"ऐशो - आराम की तलाश में इंसान दिन दूनी रात चौगुनी तरक्की भले ही कर रहा हो , परंतु इसके ऐवज में उसके मन - मस्तिष्क को भारी नुकसान उठाना पड़ रहा है ।";"विलासिता और आराम की खोज के लिए आदमी भले ही छलांग और सीमा से प्रगति कर रहा हो , लेकिन उसके दिमाग को इसके लिए बहुत नुकसान उठाना पड़ता है।";"विलासिता और आराम की खोज करने के लिए आदमी छलांग और सीमा से प्रगति कर रहा हो सकता है लेकिन उसके मस्तिष्क को इसके लिए बहुत नुकसान उठाना पड़ता है।";"10.860879";"7.192239"
"1241";"Old and aged , children , everyone is suffering from various types of mental tension and are coming in the captivities of psychological disorders .";"बड़े - बूढ़े , बच्चे , सभी मानसिक तनाव से गुजर रहे हैं और कई प्रकार के मनोरोगों की गिरफ्त में आ रहे हैं ।";"बूढ़े और बूढ़े , बच्चे , हर कोई विभिन्न प्रकार के मानसिक तनाव से पीड़ित है और मनोवैज्ञानिक विकारों की कैद में आ रहा है।";"बूढ़े और बूढ़े , बच्चे , हर कोई विभिन्न प्रकार के मानसिक तनाव से पीड़ित है और मनोवैज्ञानिक विकारों की राजधानियों में आ रहा है।";"12.409597";"12.409597"
"1242";"Even though not all might be taking the advice of psychiatrists or psychologists .";"भले ही सभी लोग सायकियाट्रिस्ट या सायकोलाजिस्टों की सलाह न ले रहे हों ।";"भले ही सभी मनोचिकित्सकों या मनोवैज्ञानिकों की सलाह नहीं ले रहे हों।";"भले ही सभी मनोचिकित्सक या मनोवैज्ञानिक की सलाह नहीं ले रहे हों।";"16.215990";"16.215990"
"1243";"But the number of patients coming to the psychiatrist and psychologists today has increased much than earlier .";"पर पहले की बनिस्पत आज सायकियाट्रिस्ट या सायकोलाजिस्टों के पास आनेवाले मरीजों की संख्या काफी बढ़ गई है ।";"लेकिन आज मनोचिकित्सकों और मनोवैज्ञानिकों के पास आने वाले मरीजों की संख्या पहले की तुलना में काफी बढ़ गई है।";"लेकिन आज मनोचिकित्सक और मनोवैज्ञानिकों के पास आने वाले रोगियों की संख्या पहले से बहुत अधिक बढ़ गई है।";"11.451997";"6.585834"
"1244";"The advice of the psychologists is proving ineffective and modern medicines which suppress the symptoms of the problem are delivering more harm .";"मनोवैज्ञानिकों के मशविरे बेअसर साबित हो रहे हैं और समस्या के लक्षणों को दबाने का काम करनेवाली आधुनिक दवाएँ फायदे के बजाय नुकसान ज्यादा पहुँचा रही हैं ।";"मनोवैज्ञानिकों की सलाह अप्रभावी साबित हो रही है और समस्या के लक्षणों को दबाने वाली आधुनिक दवाएं अधिक नुकसान पहुंचा रही हैं।";"मनोवैज्ञानिकों की सलाह अप्रभावी और आधुनिक दवाओं को साबित कर रही है जो समस्या के लक्षणों को दबाते हैं और अधिक नुकसान पहुंचा रहे हैं।";"20.164065";"11.827066"
"1245";"In the pomp of multimillion advertisements of modern medical science perhaps very few people will accept the truth that methods of effective treatment of common mental problems and severe psychological disorders are present in the ancient Indian medical science , that is , Ayurveda .";"मॉडर्न मेडिकल साइंस के बहुकरोड़ी विज्ञापनों के जोर - शोर में बहुत कम लोग शायद इस सच को स्वीकार करें कि प्राचीन भारतीय चिकित्सा विज्ञान यानी आयुर्वेद में आम मानसिक समस्याओं व गंभीर मनोरोगों के इलाज के कारगर तरीके मौजूद हैं ।";"आधुनिक चिकित्सा विज्ञान के करोड़ों विज्ञापनों की धूमधाम में शायद बहुत कम लोग इस सच्चाई को स्वीकार करेंगे कि प्राचीन भारतीय चिकित्सा विज्ञान , यानी आयुर्वेद में सामान्य मानसिक समस्याओं और गंभीर मनोवैज्ञानिक विकारों के प्रभावी उपचार के तरीके मौजूद हैं।";"आधुनिक चिकित्सा विज्ञान के करोड़ों विज्ञापनों की धूमधाम में शायद बहुत कम लोग इस सच्चाई को स्वीकार करेंगे कि प्राचीन भारतीय चिकित्सा विज्ञान यानी आयुर्वेद में सामान्य मानसिक समस्याओं और गंभीर मनोवैज्ञानिक विकारों के प्रभावी उपचार के तरीके मौजूद हैं।";"17.898540";"25.021026"
"1246";"The cure , analysis and treatment of psychological disorders are discussed in detail in Ayurvedic texts .";"आयुर्वेद ग्रंथों में मनोरोगों के निदान , विश्लेषण व उपचार के बारे में विस्तार से बताया गया है ।";"आयुर्वेदिक ग्रंथों में मनोवैज्ञानिक विकारों के इलाज , विश्लेषण और उपचार की विस्तार से चर्चा की गई है।";"आयुर्वेदिक ग्रंथों में मनोवैज्ञानिक विकारों के इलाज , विश्लेषण और उपचार पर विस्तार से चर्चा की गई है।";"7.562575";"7.562575"
"1247";"Maharishi Charak tells about three types of diseases in sutrasthan of ' Charak Samhita ' . . nij 2 . aagantu 3 . maanas .";"’ चरक संहिता ’ के ’ सूत्रस्थान ’ में महर्षि चरक 3 प्रकार के रोग बताते हैं - 1. निज 2. आगंतु 3. मानस ।";"महर्षि चरक ' चरक संहिता ' के सूत्रस्थान में तीन प्रकार के रोगों के बारे में बताते हैं। . निज 2 । आगंतु 3. मानस";"महर्षि चरक तीन प्रकार के रोगों के बारे में बताता है जो कि चरक संहिता के ठीक - ठाक हैं। . नीज 2 . अगन् ‍ तु 3 . मानास .";"10.542227";"4.720609"
"1248";"The Nij disorders are those which occur due to the imbalance of tridisorders -LRB- gas , bile , cough -RRB- .";"निज रोग वे हैं जो त्रिदोष ( वात , पित्त , कफ ) के असंतुलन से उत्पन्न हों ।";"निज विकार वे हैं जो त्रिविषों - एलआरबी - गैस , पित्त , खांसी - आरआरबी - के असंतुलन के कारण होते हैं।";"निज रोग वे होते हैं जो त्रिविकारों के असंतुलन के कारण उत्पन्न होते हैं - गैस , पित्त , कफ आदि .";"12.062940";"19.464522"
"1249";"Aagantu diseases are those which occur due to ghosts -LRB- microbes -RRB- , polluted air and maanas diseases are those psychological disorders which occur due to desires and jealousy .";"आगंतु रोग वे हैं , जो भूत ( कीटाणु ) , दूषित वायु आदि से उत्पन्न हों और मानस रोग यानी मनोरोग वे हैं , जो इच्छा और द्वेष से उत्पन्न हों ।";"अगंतु रोग वे हैं जो भूतों के कारण होते हैं - एलआरबी - रोगाणु - आरआरबी -, प्रदूषित वायु और मानस रोग वे मनोवैज्ञानिक विकार हैं जो इच्छाओं और ईर्ष्या के कारण होते हैं।";"आगंटू रोग वे रोग हैं जो भूतों के कारण उत्पन्न होते हैं . रोगाणुओं - प्रदूषित वायु और माणों के रोग वे मनोवैज्ञानिक रोग हैं जो इच्छाओं और ईर्ष्या के कारण उत्पन्न होते हैं।";"8.103715";"3.476060"
"1250";"As all of you know , Ayurveda is not just the method of treatment , it is also a science of life .";"जैसा कि आप सभी जानते हैं , आयुर्वेद मात्र इलाज का कोई तरीका न होकर जीवन का विज्ञान है ।";"जैसा कि आप सभी जानते हैं कि आयुर्वेद केवल उपचार की विधि नहीं है , यह जीवन का विज्ञान भी है।";"जैसा कि आप सभी जानते हैं , आयुर्वेद केवल उपचार का तरीका नहीं है , यह जीवन का विज्ञान भी है।";"30.603690";"41.859188"
"1251";"In Ayurveda not just the symptoms of disease are treated but by treating the root cause of disease body is holistically made healthy .";"आयुर्वेद में बीमारी के लक्षणों का नहीं बल्कि उसके मूल कारण का इलाज करके शरीर को पूर्ण रूप से स्वस्थ बनाया जाता है ।";"आयुर्वेद में न केवल रोग के लक्षणों का इलाज किया जाता है बल्कि रोग के मूल कारण का इलाज करके शरीर को समग्र रूप से स्वस्थ बनाया जाता है।";"आयुर्वेद में न केवल रोग के लक्षणों का उपचार किया जाता है , बल्कि रोग शरीर के मूल कारण का उपचार करके समग्र रूप से स्वस्थ बनाया जाता है।";"39.842407";"23.368936"
"1252";"The meaning of complete health is the health of brain and soul together with the body .";"पूर्ण स्वास्थ्य का अर्थ शरीर के साथ - साथ मन यानी मस्तिष्क और आत्मा के स्वास्थ्य से है ।";"संपूर्ण स्वास्थ्य का अर्थ शरीर के साथ - साथ मस्तिष्क और आत्मा का स्वास्थ्य है।";"पूर्ण स्वास्थ्य का अर्थ है शरीर के साथ - साथ मस्तिष्क और आत्मा का स्वास्थ्य।";"44.640095";"38.567080"
"1253";"If the health of any one of the brain or the soul is not good then it is definite for the health of the other to get affected .";"मस्तिष्क और आत्मा में से अगर किसी एक का स्वास्थ्य भी ठीक नहीं है तो दूसरे का स्वास्थ्य भी प्रभावित होना सुनिश्चित है ।";"यदि मस्तिष्क या आत्मा में से किसी एक का स्वास्थ्य अच्छा नहीं है तो दूसरे का स्वास्थ्य प्रभावित होना निश्चित है।";"यदि मस्तिष्क या आत्मा में से किसी एक का स्वास्थ्य अच्छा नहीं है तो दूसरे के स्वास्थ्य को प्रभावित करना निश्चित है।";"37.308411";"25.805768"
"1254";"Healthy mind can not reside in unhealthy body .";"अस्वस्थ शरीर में स्वस्थ मन का वास नहीं हो सकता ।";"स्वस्थ मन अस्वस्थ शरीर में निवास नहीं कर सकता।";"स्वस्थ मन अस्वस्थ शरीर में नहीं रह सकता।";"18.702743";"18.594002"
"1255";"There are three properties of man - saatvik , rajasik and tamasik , these properties are decided on the basis of balance of tridosh and the entire mental health depends on it .";"मनुष्य के तीन गुण - सात्विक , राजसिक व तामसिक , त्रिदोष के संतुलन के आधार पर ही ये गुण निर्धारित होते हैं और उसी पर संपूर्ण मानसिक स्वास्थ्य निर्भर करता है ।";"मनुष्य के तीन गुण होते हैं - सात्विक , राजसिक और तामसिक , ये गुण त्रिदोष के संतुलन के आधार पर तय होते हैं और संपूर्ण मानसिक स्वास्थ्य इसी पर निर्भर करता है।";"मनुष्य सात्विक राजसिक तथा तामसिक तीन गुण हैं इन गुणों का निर्धारण त्रिदोष के संतुलन के आधार पर होता है तथा संपूर्ण मानसिक स्वास्थ्य इस पर निर्भर करता है।";"39.661109";"22.854144"
"1256";"The nature of man , his judgement and decisive ability , the multiplicity of his character till the extent of the entire personality depends on these three properties of saatvik , rajsik and tamsik properties .";"मनुष्य की प्रवृत्ति , उसकी आकलन व निर्णय क्षमता , उसके चरित्र की विविधता , यहाँ तक कि उसका पूरा व्यक्तित्व भी इन्हीं तीन सात्विक , राजसिक व तामसिक गुणों पर निर्भर करता है ।";"मनुष्य का स्वभाव , उसका निर्णय और निर्णायक क्षमता , उसके चरित्र की बहुलता पूरे व्यक्तित्व की सीमा तक , सात्विक , राजसिक और तामसिक गुणों के इन तीन गुणों पर निर्भर करती है।";"मनुष्य का स्वभाव , उसकी निर्णय और निर्णायक क्षमता , समस्त व्यक्तित्व के विस्तार तक उसके चरित्र की बहुलता सात्विक , रज्सिक और तामसिक गुणों के इन तीन गुणों पर निर्भर करती है।";"19.711331";"10.356977"
"1257";"If there is increase in the rajsik and tamsik properties in man due to his food and life style then he can be surrounded with psychological disorders .";"यदि किसी मनुष्य के आहार व जीवनशैली से उसके राजसिक व तामसिक गुणों में वृद्धि हो , तो वह मनोरोग से घिर सकता है ।";"यदि मनुष्य के खान - पान और रहन - सहन के कारण उसके राजसिक और तामसिक गुणों में वृद्धि होती है तो वह मानसिक विकारों से घिरा हो सकता है।";"यदि व्यक्ति के भोजन और जीवन शैली के कारण रज्सिक और तामसिक गुणों में वृद्धि होती है तो उसे मनोवैज्ञानिक विकारों से घिरा जा सकता है।";"12.861981";"11.371682"
"1258";"According to few specialists , the entire working system of brain depends on the three properties of desire , pride and intelligence .";"कुछ जानकारों के अनुसार , मस्तिष्क की पूरी कार्यप्रणाली इच्छा , अहंकार और बुद्धि इन्हीं तीन गुणों पर निर्भर करती है ।";"कुछ विशेषज्ञों के अनुसार , मस्तिष्क की पूरी कार्यप्रणाली इच्छा , गर्व और बुद्धि के तीन गुणों पर निर्भर करती है।";"कुछ विशेषज्ञों के अनुसार , मस्तिष्क की पूरी कार्य प्रणाली इच्छा , गर्व और बुद्धि के तीन गुणों पर निर्भर करती है।";"56.476923";"43.280153"
"1259";"Desire has control on brain and desire works according to the dictates of pride .";"मस्तिष्क पर इच्छा का नियंत्रण होता है और इच्छा अहंकार के कहे अनुसार कार्य करती है ।";"इच्छा का मस्तिष्क पर नियंत्रण होता है और इच्छा अभिमान के अनुसार कार्य करती है।";"इच्छा का मस्तिष्क पर नियंत्रण होता है और इच्छा गर्व के आदेशों के अनुसार काम करती है।";"34.937267";"29.489940"
"1260";"Intelligence which helps the brain to decide is the most important of all .";"इनमें बुद्धि सबसे महत्वपूर्ण है , जो मस्तिष्क को निर्णय लेने में मदद करती है ।";"बुद्धि जो मस्तिष्क को निर्णय लेने में सहायता करती है वह सबसे महत्वपूर्ण है।";"बुद्धि जो मस्तिष्क को तय करने में मदद करती है वह सबसे महत्वपूर्ण है।";"38.389689";"25.504377"
"1261";"With the increase of the effect of desire or pride on intelligence , the mental balance disrupts , mental frenzy and tension get incentive and as a result psychological disorders occur .";"बुद्धि पर इच्छा या अहंकार का प्रभाव बढ़ने से मानसिक संतुलन बिगड़ता है , मानसिक आवेश और तनाव को बढ़ावा मिलता है , फलस्वरूप मनोरोग उत्पन्न होते हैं ।";"अभिलाषा या अभिमान का बुद्धि पर प्रभाव बढ़ने से मानसिक संतुलन बिगड़ जाता है , मानसिक उन्माद और तनाव को प्रोत्साहन मिलता है और परिणामस्वरूप मानसिक विकार उत्पन्न होते हैं।";"बुद्धि पर इच्छा या गर्व के प्रभाव में वृद्धि के साथ , मानसिक संतुलन बाधित होता है , मानसिक उन्माद और तनाव को प्रोत्साहन मिलता है और परिणामस्वरूप मनोवैज्ञानिक विकार होते हैं।";"13.864088";"16.318496"
"1262";"According to ` Charak samhita ' , in the case of mental disorders , negative effects affect the eight basic psychological causes of will - will , intelligence , memory , feeling , devotion , morality , efforts and behavior .";"’ चरक संहिता ’ के अनुसार , ` ` मानसिक रोगों की अवस्था में , मन के आठ मूलभूत मनोवैज्ञानिक कारकों - मन , बुद्धि , स्मृति , अनुभूति , भक्ति , शील , चेष्टा ( गतिविधियां ) और व्यवहार पर नकारात्मक प्रभाव पड़ता है । ` `";"चरक संहिता के अनुसार मानसिक विकारों के मामले में , नकारात्मक प्रभाव इच्छा - इच्छा , बुद्धि , स्मृति , भावना , भक्ति , नैतिकता , प्रयास और व्यवहार के आठ मूल मनोवैज्ञानिक कारणों को प्रभावित करते हैं।";"चरक संहिता के अनुसार मानसिक विकारों के मामले में नकारात्मक प्रभाव इच्छा , बुद्धि , स्मृति , भावना , भक्ति , नैतिकता , प्रयासों और व्यवहार के आठ बुनियादी मनोवैज्ञानिक कारणों को प्रभावित करते हैं।";"14.596329";"13.665145"
"1263";"Due to this reason man does not stay fit for social life .";"इस कारण व्यक्ति सामाजिक जीवन के योग्य नहीं रह पाता ।";"इस कारण मनुष्य सामाजिक जीवन के लिए फिट नहीं रहता है।";"इस कारण से मनुष्य सामाजिक जीवन के लिए उपयुक्त नहीं रहता है।";"18.360281";"16.590387"
"1264";"With the decrease of brilliance in body especially in tissues of brain , the capacity of brain to fight with tension is affected because of which the person gradually becomes prey to the psychological disorders .";"` ` शरीर , खासकर मस्तिष्क के टिश्यूज में ओजस की कमी से मस्तिष्क की तनाव से लड़ने की क्षमता प्रभावित होती है , जिससे व्यक्ति धीरे - धीरे मनोरोगों का शिकार हो जाता है । ` `";"शरीर में विशेष रूप से मस्तिष्क के ऊतकों में चमक कम होने से मस्तिष्क की तनाव से लड़ने की क्षमता प्रभावित होती है जिसके कारण व्यक्ति धीरे - धीरे मनोवैज्ञानिक विकारों का शिकार हो जाता है।";"विशेष रूप से मस्तिष्क के ऊतकों में शरीर में प्रतिभा की कमी के साथ , तनाव से लड़ने के लिए मस्तिष्क की क्षमता प्रभावित होती है जिसके कारण व्यक्ति धीरे - धीरे मनोवैज्ञानिक विकारों का शिकार हो जाता है।";"32.542280";"26.731728"
"1265";"This is the reason why together with consumption of nutritive food , excellent digestive capacity is given boundless importance in Ayurveda .";"यही वजह है कि पोषक तत्वों के सेवन के साथ - साथ उत्कृष्ट पाचन - क्षमता को आयुर्वेद में बेहद महत्व दिया गया है ।";"यही कारण है कि आयुर्वेद में पौष्टिक भोजन के साथ - साथ उत्कृष्ट पाचन क्षमता को असीम महत्व दिया गया है।";"यही कारण है कि पोषणात्मक भोजन के सेवन के साथ - साथ उत्कृष्ट पाचन क्षमता को आयुर्वेद में असीम महत्व दिया जाता है।";"29.717427";"42.472044"
"1266";"Renowned Yoga and spiritual Deepak Chopra considers ' radiation and life ' also important together with brilliance for mental health .";"जाने - माने योग व अध्यात्म गुरु दीपक चोपड़ा ओजस के साथ - साथ ’ तेजस और प्राण ’ को भी मानसिक स्वास्थ्य के लिए निहायत जरूरी मानते हैं ।";"प्रसिद्ध योग और आध्यात्मिक दीपक चोपड़ा मानसिक स्वास्थ्य के लिए प्रतिभा के साथ - साथ ' विकिरण और जीवन ' को भी महत्वपूर्ण मानते हैं।";"प्रसिद्ध योग और आध्यात्मिक दीपक चोपड़ा ' विकिरण और जीवन ' को मानसिक स्वास्थ्य के लिए प्रतिभा के साथ महत्वपूर्ण मानते हैं।";"18.456302";"10.401333"
"1267";"According to Dr . Chopra , life is that minute energy which is essential in the proper functioning of brain and body .";"डां . चोपड़ा के अनुसार , ` ` प्राण वह सूक्ष्म ऊर्जा है जो मस्तिष्क और शरीर के सही ढ़ंग से काम करते रहने के लिए जरूरी होती है ` ` ।";"के अनुसार डॉ . चोपड़ा , जीवन वह सूक्ष्म ऊर्जा है जो मस्तिष्क और शरीर के समुचित कार्य के लिए आवश्यक है।";"डॉ के अनुसार। चोपड़ा , जीवन उस मिनट की ऊर्जा है जो मस्तिष्क और शरीर के उचित कामकाज में आवश्यक है।";"27.626264";"17.440121"
"1268";"Radiation is that inner physical strength which by increasing our comprehension power helps us in taking the right decision .";"तेजस वह आँतरिक शारीरिक ऊर्जा है जो हमारी बोध क्षमता को बढ़ाकर हमें उचित निर्णय लेने में सहायक होती है ।";"विकिरण वह आंतरिक शारीरिक शक्ति है जो हमारी समझ शक्ति को बढ़ाकर हमें सही निर्णय लेने में मदद करती है।";"विकिरण वह आंतरिक शारीरिक शक्ति है जो हमारी समझ शक्ति को बढ़ाकर हमें सही निर्णय लेने में मदद करती है।";"12.954600";"12.954600"
"1269";"Due to their imbalance also there is maximum danger of becoming the victim of psychological disorders .";"इनके असंतुलन से भी मनोरोगों के शिकार होने का खतरा सर्वाधिक रहता है ।";"इनके असंतुलन के कारण भी मानसिक विकारों का शिकार होने का सबसे अधिक खतरा होता है।";"उनके असंतुलन के कारण भी मनोवैज्ञानिक विकारों का शिकार बनने का अधिकतम खतरा है।";"12.874331";"4.444588"
"1270";"One main cause for occurrence of mental disorders for any person is also not being able to strike a proper balance with his surroundings .";"किसी व्यक्ति का अपने आस - पास के वातावरण से उचित संतुलन न बना पाना भी मानसिक रोग होने का एक प्रमुख कारण है ।";"किसी भी व्यक्ति के मानसिक विकारों के होने का एक मुख्य कारण यह भी है कि वह अपने परिवेश के साथ उचित संतुलन नहीं बना पाता है।";"किसी भी व्यक्ति के लिए मानसिक विकारों की घटना का एक मुख्य कारण अपने परिवेश के साथ एक उचित संतुलन नहीं बना पा रहा है।";"8.402968";"5.606668"
"1271";"In general the main mental disorders that are seen due to this imbalance include hyper sexuality , anger , greed , delusion , jealousy , frenzy , sadness , worry , rage , fear , happiness etc .";"इस असंतुलन के चलते आम तौर पर जो मानसिक अव्यवस्थाएँ देखने में मिलती हैं , उनमें अति कामुकता , क्रोध , लोभ , मोह , द्वेष , मद , शोक , चिंता , आवेश , भय , हर्ष इत्यादि प्रमुख हैं ।";"सामान्य तौर पर इस असंतुलन के कारण देखे जाने वाले मुख्य मानसिक विकारों में अति कामुकता , क्रोध , लालच , भ्रम , ईर्ष्या , उन्माद , उदासी , चिंता , क्रोध , भय , खुशी आदि शामिल हैं।";"सामान्य तौर पर इस असंतुलन के कारण देखे जाने वाले मुख्य मानसिक विकारों में अति कामुकता , क्रोध , लालच , भ्रम , ईर्ष्या , उन्माद , उदासी , चिंता , क्रोध , भय , खुशी आदि शामिल हैं।";"18.134425";"18.134425"
"1272";"If the above mentioned mental condition persists then it gives birth to serious mental diseases like psychosis , epilepsy , hysteria , obsession , illusion , delusion , unconsciousness , excessive alcoholism , etc .";"उपर्युक्त मानसिक अवस्थाएँ निरंतर बनी रहें तो वे उन्माद ( सायकोसिस ) , अपस्मार ( मिर्गी ) , हिस्टीरिया , आंबसेसन , भ्रम , मद , मूर्च्छा , अति मदिरापान , आदि गंभीर मानसिक रोगों को जन्म देती हैं ।";"यदि उपरोक्त मानसिक स्थिति बनी रहती है तो यह गंभीर मानसिक रोगों जैसे मनोविकृति , मिर्गी , हिस्टीरिया , जुनून , भ्रम , भ्रम , बेहोशी , अत्यधिक शराब आदि को जन्म देती है।";"यदि उपर्युक्त मानसिक स्थिति बनी रहती है तो यह मनोविकार , मिर्गी , हिस्टीरिया , जुनून , भ्रम , भ्रम , बेहोशी , अत्यधिक शराब आदि जैसे गंभीर मानसिक रोगों को जन्म देती है।";"10.914935";"20.235159"
